epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.704,1.54515,2.09759,1.27063,0.69153,0.77923,0.81565,0.45532,1.43171,1.74478,1.26182,0.00055323,0.00055323,0.00055323
2,422.074,1.49897,1.44757,1.26753,0.70208,0.72187,0.74584,0.41804,1.51047,1.4376,1.35074,0.00108694,0.00108694,0.00108694
3,733.4,1.50689,1.26795,1.28014,0.79056,0.77964,0.8174,0.48895,1.39943,1.1833,1.28562,0.00159865,0.00159865,0.00159865
4,1044.69,1.46077,1.14011,1.26612,0.72121,0.77035,0.78648,0.44338,1.50396,1.22595,1.34108,0.00156798,0.00156798,0.00156798
5,1355.84,1.44437,1.06401,1.25258,0.79351,0.7987,0.84026,0.51014,1.41448,1.0028,1.28507,0.00153497,0.00153497,0.00153497
6,1666.89,1.41526,1.02201,1.23788,0.81923,0.79474,0.86243,0.5214,1.4179,0.90586,1.30973,0.00150197,0.00150197,0.00150197
7,6167.24,1.40846,0.97132,1.22735,0.75669,0.85601,0.84838,0.52858,1.36552,0.85838,1.24946,0.00146896,0.00146896,0.00146896
8,6235.51,1.37668,0.95399,1.21768,0.82775,0.83413,0.88693,0.55363,1.32393,0.83841,1.22639,0.00143595,0.00143595,0.00143595
9,6333.79,1.34654,0.91332,1.20909,0.81962,0.83856,0.87089,0.54401,1.35698,0.84499,1.24719,0.00140295,0.00140295,0.00140295
10,6646.9,1.34491,0.89604,1.19702,0.82489,0.85885,0.88328,0.55281,1.31658,0.79265,1.23161,0.00136994,0.00136994,0.00136994
11,6957.85,1.33401,0.87209,1.18883,0.84867,0.84338,0.90262,0.5696,1.3343,0.76892,1.23774,0.00133693,0.00133693,0.00133693
12,7269.22,1.31414,0.82983,1.18165,0.86784,0.83274,0.92002,0.58066,1.2979,0.74216,1.20119,0.00130393,0.00130393,0.00130393
13,7580.29,1.29545,0.83613,1.17092,0.82018,0.82688,0.89428,0.55724,1.36189,0.788,1.24606,0.00127092,0.00127092,0.00127092
14,7891.48,1.3032,0.81328,1.17737,0.81196,0.88197,0.896,0.55073,1.37589,0.781,1.25225,0.00123791,0.00123791,0.00123791
15,8202.73,1.28486,0.79902,1.16965,0.85202,0.8453,0.90992,0.56593,1.32843,0.7503,1.2221,0.00120491,0.00120491,0.00120491
16,8514.01,1.28036,0.78976,1.16696,0.81992,0.86502,0.90183,0.56871,1.32039,0.77356,1.22087,0.0011719,0.0011719,0.0011719
17,8825.2,1.24973,0.7584,1.15626,0.8217,0.85914,0.90036,0.55908,1.33567,0.7534,1.23359,0.00113889,0.00113889,0.00113889
18,9136.74,1.24039,0.75099,1.14409,0.86458,0.83735,0.91057,0.57766,1.32113,0.71647,1.21596,0.00110589,0.00110589,0.00110589
19,9448.08,1.24171,0.75321,1.14403,0.86217,0.85898,0.91711,0.58352,1.3164,0.7129,1.22495,0.00107288,0.00107288,0.00107288
20,9759.61,1.23349,0.72915,1.13821,0.85427,0.87215,0.91194,0.57211,1.33806,0.6915,1.23851,0.00103987,0.00103987,0.00103987
21,10071.1,1.21084,0.70355,1.12585,0.86822,0.86077,0.91905,0.56392,1.37486,0.71479,1.24954,0.00100687,0.00100687,0.00100687
22,10382.4,1.19498,0.69763,1.12888,0.82836,0.88514,0.91667,0.5723,1.33277,0.72388,1.23668,0.000973861,0.000973861,0.000973861
23,10693.6,1.17091,0.69069,1.10937,0.86601,0.87536,0.9134,0.57031,1.32953,0.69895,1.23224,0.000940855,0.000940855,0.000940855
24,11004.8,1.15963,0.67003,1.10302,0.85428,0.86669,0.91279,0.58833,1.30467,0.72973,1.20852,0.000907848,0.000907848,0.000907848
25,11316,1.15419,0.67036,1.09904,0.83748,0.87251,0.91491,0.57404,1.33069,0.70459,1.22734,0.000874842,0.000874842,0.000874842
26,11627,1.14729,0.64944,1.09825,0.84043,0.88412,0.91713,0.58332,1.32118,0.68242,1.21538,0.000841835,0.000841835,0.000841835
27,11938.2,1.14615,0.65331,1.09871,0.88149,0.85447,0.92287,0.57577,1.33782,0.68003,1.23823,0.000808828,0.000808828,0.000808828
28,12249.5,1.14354,0.64726,1.09492,0.84185,0.8978,0.91753,0.5756,1.33574,0.6853,1.22661,0.000775822,0.000775822,0.000775822
29,12560.9,1.11112,0.63275,1.0726,0.87111,0.8663,0.92408,0.58776,1.31091,0.68584,1.21459,0.000742815,0.000742815,0.000742815
30,12872,1.09595,0.61247,1.07211,0.83081,0.87452,0.91552,0.57803,1.33634,0.68599,1.23853,0.000709809,0.000709809,0.000709809
31,13183.4,1.09233,0.61741,1.06222,0.85774,0.87613,0.91448,0.57566,1.34676,0.68623,1.23967,0.000676802,0.000676802,0.000676802
32,13494.7,1.07676,0.61288,1.05993,0.8733,0.87314,0.92012,0.5854,1.31625,0.68187,1.21549,0.000643795,0.000643795,0.000643795
33,13805.9,1.06126,0.58134,1.0543,0.84771,0.89865,0.9226,0.58087,1.32494,0.66312,1.23375,0.000610789,0.000610789,0.000610789
34,14117.1,1.05364,0.58266,1.05156,0.86997,0.83679,0.91011,0.58284,1.31551,0.71041,1.21336,0.000577782,0.000577782,0.000577782
35,14428.3,1.03636,0.56792,1.044,0.85518,0.889,0.91892,0.58619,1.3146,0.64133,1.22652,0.000544776,0.000544776,0.000544776
36,14739.6,1.03203,0.56751,1.04288,0.88281,0.82274,0.90691,0.5783,1.34311,0.72099,1.25587,0.000511769,0.000511769,0.000511769
37,15050.7,1.02214,0.563,1.03453,0.87382,0.86048,0.91602,0.58035,1.34579,0.66983,1.24905,0.000478762,0.000478762,0.000478762
38,15361.8,1.00729,0.55729,1.02915,0.87607,0.86705,0.92248,0.57997,1.34554,0.65478,1.25674,0.000445756,0.000445756,0.000445756
39,15672.9,0.99348,0.54209,1.02326,0.87326,0.84892,0.91122,0.57248,1.33998,0.67913,1.25093,0.000412749,0.000412749,0.000412749
40,15984.1,0.99208,0.53687,1.02143,0.89967,0.85847,0.92475,0.58396,1.34716,0.65629,1.25143,0.000379743,0.000379743,0.000379743
41,16321.9,0.93781,0.46201,1.00991,0.88867,0.86787,0.92169,0.58172,1.34482,0.64756,1.25641,0.000346736,0.000346736,0.000346736
42,16631.9,0.90611,0.44409,0.99979,0.87479,0.86401,0.92011,0.58265,1.34091,0.65633,1.2516,0.000313729,0.000313729,0.000313729
43,16942.3,0.8931,0.44007,0.99079,0.86615,0.86862,0.9172,0.58941,1.34072,0.67254,1.26492,0.000280723,0.000280723,0.000280723
44,17252.5,0.88465,0.42931,0.99035,0.84822,0.89234,0.91867,0.58339,1.3313,0.67275,1.24873,0.000247716,0.000247716,0.000247716
